,Unnamed: 0,eventType,outcome,cross,keyPass,assist,subEventType,bodyPart,xG,eventTypes,eventId,eventPeriod,eventTime,teamId,playerId,x,y,relativeEvent_eventId,relativeEvent_playerId,relativeEvent_x,relativeEvent_y,ballPosition_x,ballPosition_y,playerName,playerLastName,time_sec,time_min,relative_real_x,relative_real_y,real_x,real_y,passDistance,passAngle,Angle,Distance,teamName
192,192,Pass,Successful,False,False,False,,,,,41254921,FIRST_HALF,39960,10758,210330.0,0.869656,0.3341,41254922.0,210324.0,0.657333,0.0808477,,,Vladimir,Coufal,39.96,0.666,44.698643999999994,8.489008499999999,59.136607999999995,35.0805,30.25825878433636,241.50006302216084,Side,long,Czech
1660,1660,Pass,Unsuccessful,False,False,False,,,,,41254932,FIRST_HALF,43072,10758,210324.0,0.671495,0.0880582,41254933.0,,0.718,0.120179,,,Jiri,Pavlenka,43.072,0.7178666666666668,48.824,12.618794999999999,45.66166,9.246111,4.623352856905472,46.84355314930883,Forward,short,Czech
195,195,Pass,Successful,False,False,False,,,,,41254941,FIRST_HALF,46286,10758,210330.0,0.932616,0.206411,41254942.0,210327.0,0.803927,0.254696,,,Vladimir,Coufal,46.286,0.7714333333333333,54.667035999999996,26.74308,63.417888,21.673155,10.11343414629912,149.91355948354476,Backward,short,Czech
906,906,Pass,Unsuccessful,False,False,False,,,,,41254958,FIRST_HALF,48722,10758,210327.0,0.859432,0.2102,41254959.0,,1.0,0.598277,,,Alex,Kral,48.722,0.8120333333333334,68.0,62.819084999999994,58.441376,22.071,41.85419601354923,76.79833810737438,Side,long,Czech
586,586,Pass,Successful,False,False,False,,,,,41254982,FIRST_HALF,72166,10757,210302.0,0.0,0.379587,41254983.0,210301.0,0.02285,0.443459,,,Leonardo,Spinazzola,72.166,1.2027666666666663,1.5537999999999998,46.563195,0.0,39.856635000000004,6.884202312076537,76.95565230441065,Side,short,Italy
1335,1335,Pass,Successful,False,False,False,,,,,41254983,FIRST_HALF,72836,10757,210301.0,0.02285,0.443459,41254984.0,210302.0,0.0193773,0.377371,,,Manuel,Locatelli,72.836,1.2139333333333333,1.3176564,39.623955,1.5537999999999998,46.563195,6.943256842247803,268.0509663259253,Side,short,Italy
589,589,Pass,Successful,False,False,False,,,,,41254992,FIRST_HALF,75548,10757,210302.0,0.062567,0.327398,41254993.0,210309.0,0.32408,0.227399,,,Leonardo,Spinazzola,75.548,1.2591333333333334,22.03744,23.876894999999998,4.254556,34.37679,20.65136214317305,329.440294568211,Forward,middle,Italy
308,308,Pass,Unsuccessful,False,False,False,,,,,41254993,FIRST_HALF,77101,10757,210309.0,0.32408,0.227399,41254994.0,,0.212592,0.408044,,,Leonardo,Bonucci,77.101,1.2850166666666667,14.456256,42.84462,22.03744,23.876894999999998,20.426672330986296,111.78602831312571,Side,middle,Italy
907,907,Pass,Successful,False,False,False,,,,,41255009,FIRST_HALF,78024,10758,210327.0,0.789502,0.593525,41255010.0,210334.0,0.719833,0.670807,,,Alex,Kral,78.024,1.3004,48.948643999999994,70.434735,53.686136000000005,62.320125,9.396314485060842,120.2773447304782,Backward,short,Czech
5,5,Pass,Successful,False,False,False,,,,,41255010,FIRST_HALF,79051,10758,210334.0,0.719833,0.670807,41255011.0,210329.0,0.59336,0.590763,,,Antonin,Barak,79.051,1.317516666666667,40.34848,62.030115,48.948643999999994,70.434735,12.024993063253545,224.34116469217992,Backward,short,Czech
55,55,Pass,Successful,False,False,False,,,,,41254967,FIRST_HALF,81594,10758,210329.0,0.529694,0.608765,41254968.0,210333.0,0.247029,0.702897,,,Vladimir,Darida,81.594,1.3599,16.797972,73.804185,36.019192,63.920325,21.613560252489638,152.78704470360435,Backward,middle,Czech
1739,1739,Pass,Unsuccessful,False,False,False,,,,,41254971,FIRST_HALF,83490,10758,210333.0,0.277594,0.7132,41254972.0,,0.215599,0.923152,,,Jan,Boril,83.49,1.3915,14.660732000000001,96.93096,18.876392,74.886,22.44442137006878,100.82597582927247,Side,middle,Czech
311,311,Pass,Unsuccessful,False,False,False,,,,,41255014,FIRST_HALF,87461,10757,210309.0,0.935404,0.0551782,41255015.0,,0.959243,0.242412,,,Leonardo,Bonucci,87.461,1.4576833333333332,65.228524,25.45326,63.607472,5.793711,19.726268691014653,85.28627050845671,Side,middle,Italy
1741,1741,Pass,Successful,False,False,False,,,,,41254977,FIRST_HALF,90111,10758,210333.0,0.0300278,0.775102,41254978.0,210328.0,0.0121073,0.863849,,,Jan,Boril,90.111,1.50185,0.8232963999999999,90.704145,2.0418904,81.38570999999999,9.39777644903629,97.45042693904571,Side,short,Czech
1832,1832,Pass,Successful,True,True,False,,,,,41254999,FIRST_HALF,92990,10758,210328.0,0.0243606,0.873717,41255000.0,210325.0,0.644917,0.94608,,,Jakub,Jankto,92.99,1.5498333333333332,43.854355999999996,99.33840000000001,1.6565208,91.740285,42.87643463628457,10.207267766093537,Forward,long,Czech
1022,1022,Pass,Successful,False,False,False,,,,,41255033,FIRST_HALF,102956,10757,210307.0,0.448375,0.112066,41255034.0,210308.0,0.374186,0.140753,,,Gianluigi,Donnarumma,102.956,1.7159333333333333,25.444648,14.779065,30.489500000000003,11.76693,5.875669235085397,149.15979807273789,Backward,short,Italy
1883,1883,Pass,Successful,False,False,False,,,,,41255043,FIRST_HALF,105342,10757,210308.0,0.371956,0.144062,41255044.0,210303.0,0.484568,0.194133,,,Giorgio,Chiellini,105.342,1.7557,32.950624,20.383965,25.293008,15.12651,9.288698287730147,34.4721492906848,Forward,short,Italy
1233,1233,Pass,Successful,False,False,False,,,,,41255044,FIRST_HALF,105844,10757,210303.0,0.484568,0.194133,41255045.0,210307.0,0.471374,0.0402996,,,Jorginho,,105.844,1.764066666666667,32.053432,4.231458,32.950624,20.383965,16.177405103103307,266.8207692767682,Side,middle,Italy
1024,1024,Pass,Successful,False,False,False,,,,,41255055,FIRST_HALF,113144,10757,210307.0,0.560018,0.0797103,41255056.0,210309.0,0.700874,0.042119,,,Gianluigi,Donnarumma,113.144,1.8857333333333333,47.659432,4.422495,38.081224,8.369581499999999,10.359611977759895,337.60391660867157,Forward,short,Italy
313,313,Pass,Successful,False,False,False,,,,,41255061,FIRST_HALF,114474,10757,210309.0,0.709682,0.0476981,41255062.0,210311.0,0.675086,0.14953,,,Leonardo,Bonucci,114.474,1.9079,45.905848,15.70065,48.258376000000005,5.0083005,10.948092337066502,102.40849754736564,Side,short,Italy
1112,1112,Pass,Successful,False,False,False,,,,,41255076,FIRST_HALF,119146,10757,210311.0,0.835439,0.24765,41255077.0,210306.0,0.843672,0.34609,,,Nicolo,Barella,119.146,1.985766666666667,57.369696,36.33945,56.80985200000001,26.00325,10.351350430950347,86.89969370468089,Side,short,Italy
56,56,Pass,Successful,False,False,False,,,,,41255026,FIRST_HALF,121212,10758,210329.0,0.159569,0.673679,41255027.0,210328.0,0.174787,0.701741,,,Vladimir,Darida,121.212,2.0202,11.885515999999999,73.68280499999999,10.850691999999999,70.736295,3.1229444265109714,70.6485573995302,Side,short,Czech
1834,1834,Pass,Successful,False,False,False,,,,,41255029,FIRST_HALF,125227,10758,210328.0,0.0803349,0.746301,41255030.0,210333.0,0.0239435,0.640573,,,Jakub,Jankto,125.227,2.0871166666666667,1.628158,67.260165,5.4627732,78.361605,11.745051886035709,250.94426761917697,Side,short,Czech
1743,1743,Pass,Successful,False,False,False,,,,,41255039,FIRST_HALF,127719,10758,210333.0,0.0275093,0.619673,41255040.0,210324.0,0.491875,0.281193,,,Jan,Boril,127.719,2.12865,33.4475,29.525265000000005,1.8706324,65.06566500000001,47.54175637887109,311.6203891772633,Forward,long,Czech
1661,1661,Pass,Successful,False,False,False,,,,,41255040,FIRST_HALF,131970,10758,210324.0,0.491875,0.281193,41255041.0,210332.0,0.241443,0.341759,,,Jiri,Pavlenka,131.97,2.1995,16.418124,35.884695,33.4475,29.525265000000005,18.17806361729092,159.5224162984739,Backward,middle,Czech
1517,1517,Pass,Successful,False,False,False,,,,,41255046,FIRST_HALF,137524,10758,210332.0,0.247593,0.359376,41255047.0,210333.0,0.0299767,0.480976,,,Jakub,Brabec,137.524,2.2920666666666665,2.0384156,50.50248,16.836324,37.73448,19.544818162745607,139.21156589311647,Backward,middle,Czech
1744,1744,Pass,Successful,False,False,False,,,,,41255047,FIRST_HALF,138957,10758,210333.0,0.0299767,0.480976,41255048.0,210332.0,0.149567,0.338637,,,Jan,Boril,138.957,2.31595,10.170556000000001,35.556885,2.0384156,50.50248,17.014773503909392,298.551328025856,Side,middle,Czech
1519,1519,Pass,Successful,False,False,False,,,,,41255052,FIRST_HALF,142581,10758,210332.0,0.224255,0.32156,41255053.0,210329.0,0.500358,0.305195,,,Jakub,Brabec,142.581,2.37635,34.024344,32.045474999999996,15.24934,33.7638,18.853472253291727,354.7707465345827,Forward,middle,Czech
58,58,Pass,Successful,False,False,False,,,,,41255053,FIRST_HALF,143916,10758,210329.0,0.500358,0.305195,41255054.0,210332.0,0.293114,0.252991,,,Vladimir,Darida,143.916,2.3986,19.931752,26.564055000000003,34.024344,32.045474999999996,15.121081789834479,201.2539224189466,Backward,middle,Czech
1521,1521,Pass,Successful,False,False,False,,,,,41255057,FIRST_HALF,147017,10758,210332.0,0.273218,0.265673,41255058.0,210327.0,0.0996181,0.320992,,,Jakub,Brabec,147.017,2.450283333333333,6.7740308,33.70416,18.578824,27.895664999999997,13.156434040415027,153.800716543068,Backward,short,Czech
910,910,Pass,Successful,False,False,False,,,,,41255066,FIRST_HALF,149099,10758,210327.0,0.0871565,0.330783,41255067.0,210333.0,0.0186669,0.466789,,,Alex,Kral,149.099,2.484983333333333,1.2693492,49.012845,5.926642,34.732215,15.020877784664647,108.06252316391465,Side,middle,Czech
1746,1746,Pass,Successful,False,False,False,,,,,41255067,FIRST_HALF,149931,10758,210333.0,0.0186669,0.466789,41255068.0,210328.0,0.0872769,0.44387,,,Jan,Boril,149.931,2.49885,5.9348292,46.60635,1.2693492,49.012845,5.249563964314084,332.714924292792,Forward,short,Czech
1835,1835,Pass,Unsuccessful,False,False,False,,,,,41255068,FIRST_HALF,150268,10758,210328.0,0.0872769,0.44387,41255069.0,,0.0864585,0.457583,,,Jakub,Jankto,150.268,2.5044666666666666,5.879178,48.046215000000004,5.9348292,46.60635,1.4409400661673801,92.21339678300865,Side,short,Czech
1749,1749,Pass,Successful,False,False,False,,,,,41255086,FIRST_HALF,158294,10758,210333.0,0.161179,0.504845,41255087.0,210327.0,0.223538,0.478265,,,Jan,Boril,158.294,2.638233333333333,15.200584,50.217825,10.960172,53.008725,5.076437406266721,326.64839964422487,Forward,short,Czech
912,912,Pass,Successful,False,False,False,,,,,41255091,FIRST_HALF,160076,10758,210327.0,0.281031,0.472284,41255092.0,210330.0,0.954909,0.72179,,,Alex,Kral,160.076,2.667933333333333,64.933812,75.78795000000001,19.110107999999997,49.589819999999996,52.784030385870665,29.75728052779033,Forward,long,Czech
