,id,players,ball,ball_x,ball_y
19,270,"4405,2259;3676,821;4275,3249;5221,2339;5239,4373;3358,4412;1085,3388;3625,1896;3486,3064;4538,5505;4444,4077;9336,3409;5299,981;5231,1851;6057,2916;5496,4205;6212,3579;5559,626;7094,2291;7076,3930;5251,6365;5212,3431","5249,3406",5249,3406
20,271,"4404,2257;3675,822;4275,3250;5222,2339;5245,4367;3359,4412;1087,3386;3625,1894;3486,3064;4539,5503;4443,4078;9336,3409;5298,982;5227,1852;6057,2918;5493,4201;6213,3579;5559,627;7094,2291;7076,3929;5244,6364;5213,3430","5248,3406",5248,3406
21,272,"4402,2254;3674,823;4276,3251;5224,2339;5251,4361;3359,4412;1090,3384;3624,1891;3486,3064;4541,5501;4441,4078;9336,3409;5297,983;5222,1852;6056,2921;5491,4196;6213,3579;5559,627;7094,2291;7077,3928;5237,6363;5215,3429","5248,3406",5248,3406
22,273,"4401,2252;3673,824;4278,3251;5227,2338;5257,4353;3359,4412;1093,3382;3623,1889;3487,3064;4542,5499;4439,4079;9336,3409;5295,984;5216,1852;6056,2923;5488,4191;6214,3579;5559,627;7094,2291;7077,3927;5228,6362;5217,3428","5248,3406",5248,3406
23,274,"4400,2250;3671,825;4279,3252;5230,2338;5264,4345;3359,4411;1096,3381;3622,1888;3487,3065;4544,5496;4437,4080;9337,3409;5294,986;5210,1853;6056,2926;5486,4186;6214,3580;5559,628;7093,2291;7078,3926;5219,6361;5218,3428","5248,3407",5248,3407
24,275,"4399,2248;3670,826;4280,3253;5234,2339;5271,4338;3359,4411;1100,3381;3621,1886;3488,3065;4545,5494;4436,4081;9337,3409;5293,987;5204,1853;6056,2929;5483,4181;6214,3580;5559,628;7093,2291;7079,3925;5209,6360;5220,3427","5248,3407",5248,3407
25,276,"4398,2247;3668,827;4281,3253;5238,2339;5279,4330;3360,4411;1103,3380;3620,1885;3489,3066;4547,5492;4434,4082;9337,3410;5292,989;5197,1853;6056,2931;5481,4176;6215,3581;5559,628;7092,2291;7080,3924;5198,6359;5222,3428","5254,3407",5254,3407
26,277,"4397,2247;3667,828;4282,3253;5243,2340;5288,4323;3361,4411;1107,3380;3620,1883;3490,3066;4549,5490;4432,4082;9337,3410;5290,991;5190,1854;6056,2934;5479,4172;6215,3582;5558,628;7092,2291;7081,3923;5188,6359;5223,3429","5312,3412",5312,3412
27,278,"4396,2247;3665,829;4283,3253;5249,2342;5298,4314;3361,4411;1111,3380;3619,1882;3491,3067;4551,5487;4430,4083;9338,3410;5288,992;5183,1855;6055,2936;5476,4167;6215,3583;5556,627;7091,2291;7082,3923;5177,6359;5225,3430","5368,3417",5368,3417
28,279,"4396,2247;3663,830;4284,3253;5255,2344;5308,4306;3362,4411;1114,3380;3618,1881;3493,3067;4553,5485;4429,4083;9338,3410;5286,995;5175,1855;6055,2939;5475,4162;6215,3584;5554,627;7091,2291;7083,3923;5165,6360;5225,3431","5424,3422",5424,3422
